Índice  Temperatura  Umidade      Data      Horário
  3       30.00       27.00    20/12/2019   11:13:51
  1       31.00       26.00    20/12/2019   11:15:50
  1       31.00       26.00    20/12/2019   11:17:32
  1       31.00       26.00    20/12/2019   11:17:42
  1       31.00       26.00    20/12/2019   11:17:51
  1       31.00       26.00    20/12/2019   11:18:04
  1       31.00       26.00    20/12/2019   11:19:51
  1       31.00       26.00    20/12/2019   11:20:25
  1       31.00       26.00    20/12/2019   11:20:45
  1       31.00       26.00    20/12/2019   11:20:49
  1       31.00       26.00    20/12/2019   11:20:53
  1       31.00       26.00    20/12/2019   11:20:56
  1       31.00       26.00    20/12/2019   11:21:00
  2       32.00       26.00    20/12/2019   11:21:06
  3       31.00       26.00    20/12/2019   11:21:08
  4       31.00       26.00    20/12/2019   11:21:12
  4       32.00       26.00    20/12/2019   11:21:15
  4       32.00       26.00    20/12/2019   11:21:40
  4       34.00       25.00    20/12/2019   11:21:51
